line_id,owner,voltage_kv,joint_km
1779,SAN DIEGO GAS & ELECTRIC,500.0,2.878977839609704
2052,SOUTHERN CALIFORNIA EDISON,115.0,2.369640915701595
2053,SOUTHERN CALIFORNIA EDISON,115.0,2.3573103256377057
795,PACIFIC GAS & ELECTRIC COMPANY,115.0,2.3450020609512627
626,PACIFIC GAS & ELECTRIC COMPANY,115.0,2.3368084963390547
772,PACIFIC GAS & ELECTRIC COMPANY,500.0,2.301639267741565
1789,PACIFIC GAS & ELECTRIC COMPANY,500.0,2.125935191594808
2064,SOUTERN CALIFORNIA EDISON,115.0,2.104791259480859
1276,PACIFIC GAS & ELECTRIC COMPANY,230.0,1.7280797416950144
165,PACIFIC GAS & ELECTRIC COMPANY,115.0,1.6465699210682054
1159,PACIFIC GAS & ELECTRIC COMPANY,115.0,1.6009135066331628
1055,NOT AVAILABLE,230.0,1.4154177447726324
1022,NOT AVAILABLE,230.0,1.3960764027361445
1922,SOUTHERN CALIFORNIA EDISON,220.0,1.3528322878444088
2068,SOUTHERN CALIFORNIA EDISON,230.0,1.319236913639462
2067,SOUTHERN CALIFORNIA EDISON,230.0,1.2983909328241567
1925,SOUTHERN CALIFORNIA EDISON,500.0,1.2909951379246027
2044,SOUTHERN CALIFORNIA EDISON,500.0,1.274766534091792
1721,PACIFIC GAS & ELECTRIC COMPANY,115.0,1.2630791404320825
1934,SOUTHERN CALIFORNIA EDISION,230.0,1.2579222398791903
2064,SOUTERN CALIFORNIA EDISON,115.0,1.2176197479797892
34,PACIFICORP,115.0,1.1835282211684648
334,PACIFIC GAS & ELECTRIC COMPANY,500.0,1.0405447931700296
2048,LADWP,287.0,1.0313992938991998
2036,SOUTHERN CALIFORNIA EDISON,500.0,0.9828097001413136
