line_id,hazard_class,overlap_km
1320,NonWildland,105.47838872425697
972,NonWildland,100.99503995585354
1269,Very High,99.83656404787159
1012,NonWildland,99.54851729536132
769,Very High,99.50007737429192
1636,NonWildland,89.2486079760731
1476,NonWildland,81.27713516286128
1701,NonWildland,81.23730475728458
1012,NonWildland,79.05051016504837
537,Very High,78.43504146089255
1623,NonWildland,74.15186887809166
1545,NonWildland,73.9925784548796
2160,NonWildland,70.26466616792962
1925,NonWildland,69.50072487778677
676,NonWildland,67.84819391813669
1449,NonWildland,65.51136012990825
1972,Moderate,61.40065681387782
1929,Very High,61.00936849211123
1132,NonWildland,60.742482582325636
1479,Very High,60.11974860948262
1954,NonWildland,59.342411585645316
359,NonWildland,59.124091681272944
1924,NonWildland,58.93243023534035
1449,High,58.749251652748995
985,Very High,58.699558453688866
1667,Very High,58.641422001970845
980,NonWildland,58.56510455785935
803,NonWildland,58.028615651368845
1773,High,57.04195686101408
581,NonWildland,56.99796425585948
233,Very High,56.15966164130659
1933,Moderate,55.47719927807983
359,NonWildland,55.169532585055755
1806,NonWildland,54.60121736781039
470,NonWildland,54.576634641402045
381,NonWildland,54.54227400564352
1940,Moderate,54.15313360211185
1939,Moderate,53.577415502333146
857,NonWildland,53.488188775731714
820,NonWildland,53.448928177257464
451,NonWildland,53.223939979808506
336,NonWildland,53.20805926464433
275,NonWildland,52.215706098525324
1042,Very High,51.6299388754719
1811,NonWildland,50.70808146387542
369,NonWildland,49.90944602814743
1609,NonWildland,49.85226796035564
1087,NonWildland,49.77425752471484
1445,NonWildland,49.75368541020919
1933,Very High,47.785570767900325
958,Very High,47.4856110442609
801,High,47.431595792157424
712,NonWildland,47.09431744281731
1068,NonWildland,46.61602803788531
334,High,46.45739108645429
1836,NonWildland,46.21830587422128
2016,Moderate,46.170011236179256
1347,NonWildland,45.095738984307935
1276,High,44.97918694161896
1159,High,44.717946252347105
1926,NonWildland,44.55972083262027
32,Moderate,44.529504949715516
521,High,44.49772152850177
1937,NonWildland,44.29498230377055
1936,NonWildland,44.29304821971941
754,Very High,44.234125731374725
2048,NonWildland,43.30650347740704
2049,NonWildland,43.25160464838849
559,Very High,43.04213500720191
2039,Moderate,42.818873555986855
958,Moderate,42.58265948388223
2089,Moderate,42.41721367878256
1720,NonWildland,42.31035788204778
1225,NonWildland,42.189139051132344
940,NonWildland,42.17648851179281
2090,Moderate,41.609028950393935
1857,Very High,41.11744624786302
755,NonWildland,40.93942743972476
1296,NonWildland,40.870714782373526
321,NonWildland,40.205822091507365
746,Moderate,39.96901757718074
972,High,39.80407620726034
90,NonWildland,39.73899073194979
2154,NonWildland,39.64142727032772
1721,Very High,39.624609536499335
948,NonWildland,39.58655809484812
1075,NonWildland,39.43546802586388
829,NonWildland,39.42889603145978
1750,NonWildland,39.42520625154975
1320,NonWildland,39.269667349011
684,Very High,39.262776626092695
584,NonWildland,39.20732794518321
1439,NonWildland,39.148097374812366
652,NonWildland,39.073450863130006
941,NonWildland,38.985879905867314
708,NonWildland,38.884277968587554
1041,NonWildland,38.78354719896964
897,NonWildland,38.70110066499255
1702,High,38.51326435328872
681,NonWildland,38.26063555108747
1192,NonWildland,38.0548621663592
1039,NonWildland,38.02806098251435
1280,NonWildland,37.88385090663453
2004,Moderate,37.85837693235875
470,NonWildland,36.958022656695015
1806,NonWildland,36.950283373494905
1145,NonWildland,36.91660504853674
1659,NonWildland,36.82370885764167
1498,Moderate,36.29856119971758
473,NonWildland,36.257562932994496
855,NonWildland,35.7408862783014
892,NonWildland,35.390295301086
669,NonWildland,35.37816398311616
934,NonWildland,35.21607756730663
831,NonWildland,35.01703606083337
729,NonWildland,35.00664796965401
1762,NonWildland,34.87355361686335
1682,Moderate,34.79672116788611
825,Moderate,34.72950599398692
1744,NonWildland,34.69517011780518
1110,NonWildland,34.579886272673505
467,High,34.07460582074097
1598,High,34.0697852379353
872,High,33.75714014809846
1779,Very High,33.65152735101872
1453,Very High,33.55335902698006
1285,NonWildland,33.40663912355082
1336,NonWildland,33.393429433601014
1944,NonWildland,33.36656586490261
434,NonWildland,33.33737504131934
1492,Very High,33.23132046551684
75,Very High,33.22823657898295
784,Very High,33.20560698937558
686,NonWildland,32.9350107138112
881,NonWildland,32.908884192514954
1676,NonWildland,32.864336205999805
32,Moderate,32.85368372702433
1927,Moderate,32.84673502485565
1493,High,32.779002780980605
937,NonWildland,32.63285897541426
964,High,32.557821262967806
1930,Very High,32.52799117003162
1320,High,32.461176795988386
782,NonWildland,32.356339126165444
1789,High,32.10176039136496
1121,NonWildland,31.940341322362745
1661,NonWildland,31.85951059316882
379,High,31.84104651081097
772,High,31.840847835107137
1825,NonWildland,31.804262363439594
688,High,31.802588862751552
989,High,31.518007087859548
476,NonWildland,31.073185747255053
635,Very High,30.88477175906903
1732,Very High,30.8123296171246
509,Very High,30.783960742334806
1437,NonWildland,29.986197263238317
1203,NonWildland,29.93375304012571
467,NonWildland,29.800092145176755
327,NonWildland,29.412707418627733
348,Very High,29.38438786749094
1221,NonWildland,29.34688707492774
1208,NonWildland,29.333361546122294
1179,NonWildland,29.195823591252957
629,NonWildland,28.98460158492075
1768,NonWildland,28.741055171353057
1827,Very High,28.674903739759444
209,Very High,28.671906516872646
553,Very High,28.663609791914492
2035,Very High,28.321650323810527
978,NonWildland,28.206746301283324
342,NonWildland,28.16579265082338
1484,Very High,27.697372485082713
583,High,27.634341781689244
562,High,27.621042875441578
1356,Very High,27.529762867748303
1592,Moderate,27.52032916275531
1584,NonWildland,27.49770734182869
1598,High,27.458109025226058
1087,NonWildland,27.452316750290652
1725,NonWildland,27.43557724166842
369,NonWildland,27.415191956005216
1810,Very High,27.400062459552515
1526,Very High,27.345921045093757
1609,NonWildland,27.323812029984197
216,NonWildland,27.32367980029793
1055,Very High,27.27045665577199
464,High,27.2354783979591
1331,NonWildland,27.166110034042635
292,NonWildland,26.896112067624905
1705,Very High,26.886095286512674
1022,Very High,26.7653171590936
1679,NonWildland,26.72313266513009
233,High,26.64459851309929
1929,Very High,26.579169485357713
1865,High,26.57544521783155
1592,Moderate,26.563319774355005
1109,Very High,26.524141589788037
602,High,26.504925427824006
319,NonWildland,26.440468871264688
1922,Very High,26.420534930578526
1866,NonWildland,26.403013258108952
285,NonWildland,26.40027450617755
833,High,26.393647498647166
1449,High,26.341264630567842
1234,Very High,26.238741239429633
1847,NonWildland,26.236257928783342
1228,High,26.142462087837416
1453,Very High,26.120031668951633
568,NonWildland,26.105747956658405
1340,NonWildland,26.103452097512235
1244,NonWildland,26.078735029441646
1398,High,26.045469225900103
296,Very High,26.044147005172917
1539,High,25.881271691495034
360,Very High,25.841958541713787
1204,High,25.840995958826074
1231,High,25.762420528506418
1771,NonWildland,25.726864908018587
217,NonWildland,25.725765428210803
1367,NonWildland,25.624767807882538
414,NonWildland,25.622913303481706
816,Very High,25.540747386190343
873,NonWildland,25.534301910918515
369,High,25.21087941913929
1609,High,25.201708084278064
515,Very High,25.177198294535266
1935,NonWildland,25.155651409389783
1149,NonWildland,25.12682085057391
1087,High,25.117803650012117
1628,NonWildland,25.092979598756784
2046,Moderate,25.082296259465526
1445,High,25.03807823447377
2045,Moderate,24.91887233965611
479,Very High,24.91196823428302
1272,Very High,24.90593432911223
1545,Moderate,24.88194973374898
1924,Very High,24.850468836437983
1160,Very High,24.82689454006071
1954,Very High,24.817343305552576
1623,Moderate,24.80392558332859
1722,NonWildland,24.717896159195508
902,NonWildland,24.684585258356197
1760,High,24.684553731631574
478,NonWildland,24.64707840614629
818,NonWildland,24.566072517591735
1320,Moderate,24.5394627477829
2005,Moderate,24.408528653986306
760,NonWildland,24.402098616164352
872,High,24.40077395664073
1236,High,24.3855313062479
1251,High,24.36561622316903
1010,Very High,24.33552768442688
1562,NonWildland,24.33406113028659
937,Moderate,24.275493629504936
728,NonWildland,24.226112740805842
1120,Very High,24.080433640643562
33,High,24.07022876707532
929,Moderate,24.066702369073454
1110,Moderate,24.034863715437957
139,Moderate,23.974426082892933
2044,Very High,23.95811077455468
1858,High,23.91322278568449
1897,High,23.870498202347843
1666,High,23.86313272143223
1995,Moderate,23.763073299976
988,NonWildland,23.73648207277397
1085,High,23.673507116808644
481,Very High,23.60626877628108
1934,NonWildland,23.459932559045548
34,Very High,23.440576079952187
562,Very High,23.218872908387674
1479,High,23.182099190374917
511,NonWildland,23.1689223984846
552,NonWildland,23.11543230305309
507,NonWildland,23.007607190289615
1268,Very High,22.92785800457229
560,NonWildland,22.913823728846396
1190,Very High,22.893146130411797
1374,Moderate,22.868843500503836
1104,NonWildland,22.839854890968997
648,NonWildland,22.8296815960156
630,Moderate,22.809404627105668
666,NonWildland,22.805534656526483
1349,NonWildland,22.79480109063762
977,Moderate,22.762469843948942
1477,NonWildland,22.759930242914596
1773,High,22.752233722203083
1917,Very High,22.732826168715246
1776,NonWildland,22.652113459986467
1084,NonWildland,22.583566705192744
999,NonWildland,22.574956213967265
1556,Very High,22.531538816159383
1287,Very High,22.530756444170336
483,NonWildland,22.44416457646803
936,NonWildland,22.339970669744506
1428,High,22.339360001424364
2057,NonWildland,22.281165337353684
274,NonWildland,22.21982499921047
1367,NonWildland,22.198229592328016
1581,NonWildland,22.17262336320514
2090,Moderate,22.098386941533015
1767,NonWildland,22.08720993681283
795,Very High,21.977105543338038
626,Very High,21.959760050500723
1231,NonWildland,21.94647927755308
934,NonWildland,21.940807597312094
1674,NonWildland,21.94054313764427
2089,Moderate,21.932090317210207
1918,Very High,21.81424812862346
1347,NonWildland,21.803172912006836
726,NonWildland,21.747074614953704
823,Very High,21.573981237818007
1868,Very High,21.572280637238574
820,NonWildland,21.562796819887076
857,NonWildland,21.549710827352655
2159,NonWildland,21.47278442449111
649,NonWildland,21.47071692002089
929,High,21.390908401325664
1275,NonWildland,21.3778401587787
982,Very High,21.310677522096377
823,NonWildland,21.292438476821108
503,NonWildland,21.274605397342174
1685,NonWildland,21.173258568236303
620,NonWildland,21.111485146059742
43,Moderate,21.070089309666415
44,Moderate,21.049556971817697
2074,Moderate,21.038111807486597
857,NonWildland,20.998753939238046
820,NonWildland,20.986854613641945
1858,Very High,20.97907328302988
1034,NonWildland,20.965581703841206
2157,NonWildland,20.909795425770557
1085,Very High,20.889448220401352
1652,NonWildland,20.885439018826425
772,Very High,20.880217720623158
1999,Moderate,20.846766316425303
1433,High,20.720302231515667
677,NonWildland,20.684145329508052
863,NonWildland,20.650108163945948
967,NonWildland,20.64522428747541
1144,NonWildland,20.63492539086147
1027,NonWildland,20.619886246595694
2058,NonWildland,20.60643408433171
1110,High,20.594981739952548
1789,Very High,20.57718653778989
855,High,20.54389299622141
937,High,20.53198242074583
1228,Very High,20.51114327676194
32,High,20.479369914395015
1655,Very High,20.44991593010188
928,Very High,20.4356951282161
1009,High,20.417850415149783
1997,Moderate,20.40465702376683
1320,High,20.350968273871004
159,High,20.323992613700952
1982,Moderate,20.306126255671966
1516,Very High,20.303610419161046
139,High,20.29590354117231
961,Very High,20.279446983670642
1998,Moderate,20.26508407645684
1481,High,20.1745808565415
1529,Very High,20.12280042063094
748,NonWildland,20.093600170306065
1702,High,20.04369092824315
1621,Very High,20.02761119379999
1702,NonWildland,20.01744176639366
2040,Very High,19.98510460690182
495,NonWildland,19.96102211991672
436,NonWildland,19.91811341991769
1826,NonWildland,19.90121043422549
823,High,19.88080592762285
1839,NonWildland,19.84920212347553
839,NonWildland,19.81196550519561
404,NonWildland,19.802158174713792
1768,NonWildland,19.795842415453397
535,NonWildland,19.778161716185508
1823,NonWildland,19.761493498660222
1213,NonWildland,19.757878297088283
1799,Very High,19.751893521346357
469,NonWildland,19.727231242541862
139,NonWildland,19.700265158682214
1587,NonWildland,19.63353633562056
1052,NonWildland,19.570954791996066
904,High,19.568557687052863
780,High,19.529587738739437
1919,Very High,19.49433081608669
972,High,19.46486380961597
1548,NonWildland,19.458946784595415
985,High,19.446782110018354
1667,High,19.439244420879863
1428,Moderate,19.378398382746624
721,NonWildland,19.350742804706833
924,NonWildland,19.331831347195283
1290,NonWildland,19.24285207913383
2079,Moderate,19.17694097155484
416,Very High,19.14146734151795
835,NonWildland,19.13127353415794
772,Very High,19.13075215440861
43,Moderate,19.09704960245903
44,Moderate,19.080363742600145
295,NonWildland,18.991207213866804
2045,Very High,18.977387156922628
1779,High,18.92718888750652
2046,Very High,18.922343131008766
1789,Very High,18.894516914202708
1122,NonWildland,18.87709996020874
445,NonWildland,18.862993891832872
1304,NonWildland,18.851723596556774
1108,High,18.686963491197954
269,NonWildland,18.670169794073345
648,NonWildland,18.6617392397962
221,NonWildland,18.638540379545397
1997,Moderate,18.633899836672885
1214,NonWildland,18.61184229228875
1660,NonWildland,18.521128797413965
1118,NonWildland,18.515998080631295
683,Very High,18.470266051584215
1773,High,18.4528037297446
1586,NonWildland,18.44574429109581
1702,Moderate,18.31877738944836
850,Very High,18.28324484961236
1711,High,18.275755467825977
1491,Very High,18.205211537292065
926,NonWildland,18.13025834024644
2061,High,18.12907706248137
1117,NonWildland,18.120380739924727
692,NonWildland,18.110239673003566
725,High,18.063270291139354
2016,High,18.03855178241548
1623,Very High,18.01509427826083
1600,Very High,17.965853156383567
1614,Very High,17.839475627549085
1040,High,17.828098529453634
708,High,17.82067867920044
1584,Very High,17.805093942575667
743,NonWildland,17.798169125629123
562,High,17.786091065630814
938,High,17.730101416077556
1630,Very High,17.709913025555533
1320,High,17.672313332858213
217,NonWildland,17.648426825429627
104,Very High,17.594353823101976
374,NonWildland,17.58994076788159
164,NonWildland,17.58466614170359
885,NonWildland,17.564608573884097
881,NonWildland,17.55871030488557
577,NonWildland,17.513276047863133
1825,NonWildland,17.456138204776675
1141,High,17.44310854583468
